50,58
96,104
151,176
193,214
235,272
285,318
331,360
373,411
415,457
470,507
516,545
553,591
616,654
675,705
730,763
776,826
830,910
885,1024
906,1078
902,1116
868,1128
814,1133
734,1128
692,1124
642,1124
600,1120
524,1112
470,1112
394,1112
339,1091
302,1061
272,1024
239,982
209,931
193,872
180,818
151,751
142,705
138,629
138,579
125,512
138,478
159,449
188,419
218,398
230,394
251,373
264,365
293,344
293,344
339,318
344,318
398,293
423,285
520,264
537,260
587,256
629,256
654,264
671,281
696,310
700,335
717,356
721,365
726,394
734,419
738,440
738,465
738,495
730,532
709,579
692,612
688,625
675,642
658,671
650,696
642,713
633,721
616,742
587,772
579,784
566,805
549,822
532,851
499,893
491,902
486,910
465,944
457,956
423,982
423,990
394,1011
377,1028
369,1044
348,1078
310,1137
285,1200
293,1204
310,1217
386,1254
402,1267
528,1300
549,1300
642,1284
705,1280
768,1280
